"indice_tiempo","partida","valor"
"2018-01-01","0101 - Caballos, asnos, mulos y burdeganos, vivos.","177"
"2018-01-01","0104 - Animales vivos de las especies ovina o caprina.","111"
"2018-01-01","0106 - Los demas animales vivos.","25"
"2018-01-01","0201 - Carne de animales de la especie bovina, fresca o refrigerada.","540"
"2018-01-01","0202 - Carne de animales de la especie bovina, congelada.","381"
"2018-01-01","0203 - Carne de animales de la especie porcina, fresca, refrigerada o congelada.","10237"
"2018-01-01","0206 - Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados.","33"
"2018-01-01","0207 - Carne y despojos comestibles, de aves de la partida n: 01.05, frescos, refrigerados o congelados.","565"
"2018-01-01","0209 - Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados.","303"
"2018-01-01","0210 - Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos.","575"
"2018-01-01","0301 - Peces o pescados, vivos.","34"
"2018-01-01","0302 - Pescado fresco o refrigerado, excepto los filetes y demas carne de pescado de la partida n: 03.04.","3531"
"2018-01-01","0303 - Pescado congelado, excepto los filetes y demas carne de pescado de la partida n: 03.04.","164"
"2018-01-01","0304 - Filetes y demas carne de pescado (incluso picada), frescos, refrigerados o congelados.","1434"
"2018-01-01","0305 - Pescado seco, salado o en salmuera; pescado ahumado, incluso cocido antes o durante el ahumado; harina, polvo y ""pellets"" de pescado, aptos para la alimentacion humana.","584"
"2018-01-01","0306 - Crustaceos, incluso pelados, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; crustaceos sin pelar, cocidos en agua o vapor, incluso refrigerados, congelados, secos, salados o en salmuera; harina, polvo y ""pellets"" de crustaceos, a","445"
"2018-01-01","0307 - Moluscos, incluso separados de sus valvas, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; invertebrados acuaticos, excepto los crustaceos y moluscos, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; harina,","576"
"2018-01-01","0308 - INVERTEBRADOS ACUÁTICOS, EXCEPTO LOS CRUSTÁCEOS Y MOLUSCOS, VIVOS, FRESCOS, REFRIGERADOS, CONGELADOS, SECOS, SALADOS O EN SALMUERA; INVERTEBRADOS ACUÁTICOS,EXCEPTO LOS CRUSTÁCEOS Y MOLUSCOS, AHUMADOS, INCLUSO COCIDOS ANTES O DURANTE EL AHUMADO; HARINA, POLVO Y «PELLETS» DE INVERTEBRADOS ACUÁTICOS, EXCEPTO LOS CRUSTÁCEOS Y MOLUSCOS, APTOS PARA LA ALIMENTACIÓN HUMANA.","2"
"2018-01-01","0402 - Leche y nata (crema), concentradas o con adicion de azucar u otro edulcorante.","470"
"2018-01-01","0404 - Lactosuero, incluso concentrado o con adicion de azucar u otro edulcorante; productos constituidos por los componentes naturales de la leche, incluso con adicion de azucar u otro edulcorante, no expresados ni comprendidos en otra parte.","208"
"2018-01-01","0405 - Manteca (mantequilla)* y demas materias grasas de la leche; pastas lacteas para untar.","137"
"2018-01-01","0406 - Quesos y requeson.","1619"
"2018-01-01","0410 - Productos comestibles de origen animal no expresados ni comprendidos en otra parte.","66"
"2018-01-01","0502 - Cerdas de cerdo o de jabali; pelo de tejon y demas pelos de cepilleria; desperdicios de dichas cerdas o pelos.","147"
"2018-01-01","0504 - Tripas, vejigas y estomagos de animales, excepto los de pescado, enteros o en trozos, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados.","1198"
"2018-01-01","0505 - Pieles y demas partes de ave, con sus plumas o su plumon, plumas y partes de plumas (incluso recortadas) y plumon, en bruto o simplemente limpiados, desinfectados o preparados para su conservacion; polvo y desperdicios de plumas o de partes de plumas.","54"
"2018-01-01","0508 - Coral y materias similares, en bruto o simplemente preparados, pero sin otro trabajo; valvas y caparazones de moluscos, crustaceos o equinodermos, y jibiones, en bruto o simplemente preparados, pero sin cortar en forma determinada, sus polvos y desperdic","23"
"2018-01-01","0510 - Ambar gris, castoreo, algalia y almizcle; cantaridas; bilis, incluso desecada; glandulas y demas sustancias de origen animal utilizadas para la preparacion de productos farmaceuticos, frescas, refrigeradas, congeladas o conservadas provisionalmente de ot","357"
"2018-01-01","0511 - Productos de origen animal no expresados ni comprendidos en otra parte; animales muertos de los capitulos 1 o 3, impropios para la alimentacion humana.","1039"
"2018-01-01","0601 - Bulbos, cebollas, tuberculos, raices y bulbos tuberosos, turiones y rizomas, en reposo vegetativo, en vegetacion o en flor; plantas y raices de achicoria, excepto las raices de la partida n: 12.12.","36"
"2018-01-01","0602 - Las demas plantas vivas (incluidas sus raices), esquejes e injertos; blanco de setas.","32"
"2018-01-01","0603 - Flores y capullos, cortados para ramos o adornos, frescos, secos, blanqueados, teqidos, impregnados o preparados de otra forma.","186"
"2018-01-01","0701 - Papas (patatas)* frescas o refrigeradas.","179"
